Chan_0_1,Chan_0_2,Chan_1_2,timestamp,Latitude,Longitude,Altitude (m)
16,15,26, Sat Mar 18 20:32:32 2023,33.849629,-84.362695,302.361771
16,14,18, Sat Mar 18 20:33:32 2023,33.849675,-84.362643,302.3820143
13,12,16, Sat Mar 18 20:34:32 2023,33.851133,-84.361265,307.584022
9,6,15, Sat Mar 18 20:35:32 2023,33.852802,-84.36018,310.0681182
16,17,26, Sat Mar 18 20:36:32 2023,33.855185,-84.352679,304.1892173
20,18,25, Sat Mar 18 20:37:32 2023,33.857831,-84.342069,297.956458
9,8,17, Sat Mar 18 20:38:32 2023,33.860333,-84.335076,283.4569376
14,13,23, Sat Mar 18 20:39:32 2023,33.86032,-84.334929,282.5137061
13,12,23, Sat Mar 18 20:40:32 2023,33.86149,-84.327278,280.8408834
10,11,24, Sat Mar 18 20:41:32 2023,33.861523,-84.327127,279.9518977
16,14,26, Sat Mar 18 20:42:32 2023,33.863911,-84.317364,271.8778095
9,6,16, Sat Mar 18 20:43:32 2023,33.865428,-84.308834,295.34355
13,13,32, Sat Mar 18 20:44:32 2023,33.865354,-84.301138,288.5817364
13,13,19, Sat Mar 18 20:45:32 2023,33.865354,-84.301138,288.5817364
14,8,16, Sat Mar 18 20:46:32 2023,33.863187,-84.294248,272.8224047
17,13,16, Sat Mar 18 20:47:32 2023,33.862469,-84.292511,282.2735147
12,6,19, Sat Mar 18 20:48:32 2023,33.86515,-84.289972,290.0912296
16,18,27, Sat Mar 18 20:49:32 2023,33.8629,-84.287399,271.5637042
12,7,18, Sat Mar 18 20:50:32 2023,33.855736,-84.281889,286.0221859
17,19,27, Sat Mar 18 20:51:32 2023,33.855741,-84.277958,292.20592
17,14,27, Sat Mar 18 20:52:32 2023,33.855032,-84.268323,307.8021403
16,11,19, Sat Mar 18 20:53:32 2023,33.854666,-84.26046,308.5084734
13,13,23, Sat Mar 18 20:54:32 2023,33.858222,-84.254412,294.5281689
14,12,29, Sat Mar 18 20:55:32 2023,33.858349,-84.254285,293.5108989
16,7,20, Sat Mar 18 20:56:32 2023,33.86108,-84.247301,295.3455237
13,12,22, Sat Mar 18 20:57:32 2023,33.857491,-84.23901,324.9880892
8,8,12, Sat Mar 18 20:58:32 2023,33.853725,-84.229803,331.2326878
11,12,21, Sat Mar 18 20:59:32 2023,33.853725,-84.229803,331.2326878
12,6,19, Sat Mar 18 21:00:32 2023,33.853627,-84.229561,331.1568951
12,10,19, Sat Mar 18 21:01:32 2023,33.852635,-84.228613,331.972028
19,12,29, Sat Mar 18 21:02:32 2023,33.85472,-84.218441,340.1868502
14,16,20, Sat Mar 18 21:03:32 2023,33.856553,-84.20892,335.8702586
9,9,14, Sat Mar 18 21:04:32 2023,33.852412,-84.21015,335.6533029
11,11,18, Sat Mar 18 21:05:32 2023,33.851374,-84.207809,331.8861558
12,8,14, Sat Mar 18 21:06:32 2023,33.85095,-84.207371,331.6556189
7,5,21, Sat Mar 18 21:07:32 2023,33.85095,-84.207371,331.6556189
11,6,20, Sat Mar 18 21:08:32 2023,33.848995,-84.201044,329.4170114
14,16,25, Sat Mar 18 21:09:32 2023,33.841935,-84.200956,325.8264043
7,10,17, Sat Mar 18 21:10:32 2023,33.838687,-84.20098,325.2546276
11,13,24, Sat Mar 18 21:11:32 2023,33.838687,-84.20098,325.2546276
12,10,16, Sat Mar 18 21:12:32 2023,33.838539,-84.200971,324.7178687
14,16,19, Sat Mar 18 21:13:32 2023,33.838392,-84.200966,324.7267549
13,11,17, Sat Mar 18 21:14:32 2023,33.831152,-84.197469,325.9121687
10,10,17, Sat Mar 18 21:15:32 2023,33.831152,-84.197469,325.9121687
8,8,17, Sat Mar 18 21:16:32 2023,33.831016,-84.197364,326.4717846
6,6,14, Sat Mar 18 21:17:32 2023,33.830881,-84.197261,327.0086547
20,16,22, Sat Mar 18 21:18:32 2023,33.830881,-84.197261,327.0086547
18,13,19, Sat Mar 18 21:19:32 2023,33.830881,-84.197261,327.0086547
17,12,21, Sat Mar 18 21:20:32 2023,33.826028,-84.195863,328.3151755
10,10,18, Sat Mar 18 21:21:32 2023,33.822237,-84.187555,317.207
9,11,15, Sat Mar 18 21:22:32 2023,33.814992,-84.179998,321.0068863
9,8,16, Sat Mar 18 21:23:32 2023,33.812008,-84.172476,315.3252674
13,13,19, Sat Mar 18 21:24:32 2023,33.811684,-84.171141,313.707384
9,5,13, Sat Mar 18 21:25:32 2023,33.812582,-84.162045,296.8289018
12,11,16, Sat Mar 18 21:26:32 2023,33.81247,-84.162,297.1685028
10,8,24, Sat Mar 18 21:27:32 2023,33.812247,-84.162208,299.3049761
8,13,22, Sat Mar 18 21:28:32 2023,33.812236,-84.162222,299.2928853
15,11,16, Sat Mar 18 21:29:32 2023,33.813051,-84.167637,310.2207923
10,11,23, Sat Mar 18 21:30:32 2023,33.810468,-84.181495,314.0390906
11,10,19, Sat Mar 18 21:31:32 2023,33.80999,-84.182649,316.5549594
14,13,23, Sat Mar 18 21:32:32 2023,33.806007,-84.187325,320.4021589
9,2,6, Sat Mar 18 21:33:32 2023,33.802657,-84.193412,305.7369983
11,14,19, Sat Mar 18 21:34:32 2023,33.80049,-84.200582,292.3059403
11,10,19, Sat Mar 18 21:35:32 2023,33.800892,-84.210896,291.1780904
8,7,18, Sat Mar 18 21:36:32 2023,33.800892,-84.210896,291.1780904
14,12,21, Sat Mar 18 21:37:32 2023,33.800971,-84.211845,288.4517223
10,9,13, Sat Mar 18 21:38:32 2023,33.801064,-84.211767,288.726981
18,12,22, Sat Mar 18 21:39:32 2023,33.801113,-84.211693,288.9082011
13,8,15, Sat Mar 18 21:40:32 2023,33.801126,-84.211681,289.7130556
4,4,11, Sat Mar 18 21:41:32 2023,33.801255,-84.211682,289.2261452
10,9,16, Sat Mar 18 21:42:32 2023,33.801252,-84.211681,289.5020864
11,8,17, Sat Mar 18 21:43:32 2023,33.801249,-84.211684,289.5274082
13,15,21, Sat Mar 18 21:44:32 2023,33.801327,-84.211692,289.5343432
7,6,16, Sat Mar 18 21:45:32 2023,33.801328,-84.211665,289.8571002
7,11,21, Sat Mar 18 21:46:32 2023,33.801328,-84.211665,289.8571002
13,6,18, Sat Mar 18 21:47:32 2023,33.801509,-84.211842,289.8428738
12,10,15, Sat Mar 18 21:48:32 2023,33.801509,-84.211842,289.8428738
14,14,16, Sat Mar 18 21:49:32 2023,33.801472,-84.211907,289.6121267
15,10,16, Sat Mar 18 21:50:32 2023,33.80142,-84.21194,289.3790538
13,9,14, Sat Mar 18 21:51:32 2023,33.801409,-84.211925,289.3236087
17,11,17, Sat Mar 18 21:52:32 2023,33.801423,-84.211903,289.2675001
9,14,23, Sat Mar 18 21:53:32 2023,33.801307,-84.211882,289.1547596
13,10,19, Sat Mar 18 21:54:32 2023,33.801268,-84.211893,289.0302918
13,8,22, Sat Mar 18 21:55:32 2023,33.801252,-84.211897,288.9066234
18,12,21, Sat Mar 18 21:56:32 2023,33.801221,-84.211902,288.9116353
16,13,21, Sat Mar 18 21:57:32 2023,33.801204,-84.211901,288.6533939
3,3,9, Sat Mar 18 21:58:32 2023,33.801198,-84.211901,287.181428
3,4,13, Sat Mar 18 21:59:32 2023,33.801195,-84.211888,288.7013313
13,9,25, Sat Mar 18 22:00:32 2023,33.799645,-84.218077,296.111773
14,8,19, Sat Mar 18 22:01:32 2023,33.796797,-84.224526,296.0326033
10,10,18, Sat Mar 18 22:02:32 2023,33.793718,-84.22735,283.642891
8,8,16, Sat Mar 18 22:03:32 2023,33.786938,-84.233679,294.8168638
18,10,16, Sat Mar 18 22:04:32 2023,33.786732,-84.233828,296.1687774
5,9,14, Sat Mar 18 22:05:32 2023,33.778963,-84.239815,290.2189601
8,6,15, Sat Mar 18 22:06:32 2023,33.773219,-84.248835,317.3190869
14,16,25, Sat Mar 18 22:07:32 2023,33.773067,-84.248936,317.455379
7,8,16, Sat Mar 18 22:08:32 2023,33.768945,-84.251571,324.6313157
11,8,19, Sat Mar 18 22:09:32 2023,33.765087,-84.255289,313.9410983
9,11,13, Sat Mar 18 22:10:32 2023,33.759384,-84.261798,298.7177802
6,7,18, Sat Mar 18 22:11:32 2023,33.757126,-84.264384,301.0795938
13,15,24, Sat Mar 18 22:12:32 2023,33.753864,-84.26948,307.9182657
8,5,9, Sat Mar 18 22:13:32 2023,33.750209,-84.275496,308.6300186
7,4,12, Sat Mar 18 22:14:32 2023,33.748414,-84.279824,285.1764367
11,8,18, Sat Mar 18 22:15:32 2023,33.747122,-84.28847,316.3409813
11,3,8, Sat Mar 18 22:16:32 2023,33.747149,-84.296178,307.2939489
10,10,13, Sat Mar 18 22:17:32 2023,33.747259,-84.305261,307.51903
9,13,11, Sat Mar 18 22:18:32 2023,33.747328,-84.309959,311.4616998
6,4,12, Sat Mar 18 22:19:32 2023,33.747372,-84.319842,305.1344527
10,5,13, Sat Mar 18 22:20:32 2023,33.747428,-84.326092,305.8468017
10,12,19, Sat Mar 18 22:21:32 2023,33.74754,-84.335748,286.7675154
5,8,15, Sat Mar 18 22:22:32 2023,33.747627,-84.345722,296.4410345
4,5,9, Sat Mar 18 22:23:32 2023,33.747627,-84.345885,297.3993125
