counts_1_2,counts_2_3,counts_1_3,timestamp
28, 31, 29, Mon Nov 21 14:19:58 2022
17, 18, 18, Mon Nov 21 14:20:58 2022
27, 32, 27, Mon Nov 21 14:21:58 2022
31, 29, 29, Mon Nov 21 14:22:58 2022
17, 21, 16, Mon Nov 21 14:23:58 2022
30, 27, 30, Mon Nov 21 14:24:58 2022
31, 32, 30, Mon Nov 21 14:25:58 2022
20, 19, 21, Mon Nov 21 14:26:58 2022
30, 30, 28, Mon Nov 21 14:27:58 2022
25, 21, 23, Mon Nov 21 14:28:58 2022
18, 11, 16, Mon Nov 21 14:29:58 2022
22, 25, 22, Mon Nov 21 14:30:58 2022
21, 22, 17, Mon Nov 21 14:31:58 2022
18, 18, 22, Mon Nov 21 14:32:58 2022
23, 28, 18, Mon Nov 21 14:33:58 2022
28, 32, 28, Mon Nov 21 14:34:58 2022
17, 23, 20, Mon Nov 21 14:35:58 2022
25, 22, 25, Mon Nov 21 14:36:58 2022
22, 22, 24, Mon Nov 21 14:37:58 2022
28, 28, 30, Mon Nov 21 14:38:58 2022
31, 30, 31, Mon Nov 21 14:39:58 2022
20, 24, 17, Mon Nov 21 14:40:58 2022
16, 24, 24, Mon Nov 21 14:41:58 2022
30, 37, 29, Mon Nov 21 14:42:58 2022
28, 34, 33, Mon Nov 21 14:43:58 2022
31, 30, 36, Mon Nov 21 14:44:58 2022
36, 39, 40, Mon Nov 21 14:45:58 2022
21, 24, 24, Mon Nov 21 14:46:58 2022
24, 17, 18, Mon Nov 21 14:47:58 2022
35, 30, 37, Mon Nov 21 14:48:58 2022
23, 26, 28, Mon Nov 21 14:49:58 2022
37, 31, 30, Mon Nov 21 14:50:58 2022
24, 23, 24, Mon Nov 21 14:51:58 2022
29, 26, 32, Mon Nov 21 14:52:58 2022
20, 23, 21, Mon Nov 21 14:53:58 2022
23, 27, 25, Mon Nov 21 14:54:58 2022
33, 34, 33, Mon Nov 21 14:55:58 2022
23, 28, 27, Mon Nov 21 14:56:58 2022
19, 20, 22, Mon Nov 21 14:57:58 2022
23, 22, 22, Mon Nov 21 14:58:58 2022
22, 23, 20, Mon Nov 21 14:59:58 2022
20, 23, 17, Mon Nov 21 15:00:58 2022
23, 24, 26, Mon Nov 21 15:01:58 2022
27, 28, 28, Mon Nov 21 15:02:58 2022
37, 40, 37, Mon Nov 21 15:03:58 2022
22, 18, 20, Mon Nov 21 15:04:58 2022
25, 29, 26, Mon Nov 21 15:05:58 2022
19, 22, 22, Mon Nov 21 15:06:58 2022
34, 31, 32, Mon Nov 21 15:07:58 2022
29, 26, 22, Mon Nov 21 15:08:58 2022
17, 18, 18, Mon Nov 21 15:09:58 2022
31, 33, 31, Mon Nov 21 15:10:58 2022
20, 22, 25, Mon Nov 21 15:11:58 2022
25, 30, 30, Mon Nov 21 15:12:58 2022
16, 19, 17, Mon Nov 21 15:13:58 2022
25, 33, 24, Mon Nov 21 15:14:58 2022
21, 15, 17, Mon Nov 21 15:15:58 2022
24, 26, 25, Mon Nov 21 15:16:58 2022
28, 29, 28, Mon Nov 21 15:17:58 2022
18, 23, 18, Mon Nov 21 15:18:58 2022
20, 22, 20, Mon Nov 21 15:19:58 2022
20, 22, 23, Mon Nov 21 15:20:58 2022
24, 26, 26, Mon Nov 21 15:21:58 2022
18, 24, 19, Mon Nov 21 15:22:58 2022
19, 18, 17, Mon Nov 21 15:23:58 2022
23, 24, 22, Mon Nov 21 15:24:58 2022
34, 34, 35, Mon Nov 21 15:25:58 2022
20, 28, 23, Mon Nov 21 15:26:58 2022
19, 20, 17, Mon Nov 21 15:27:58 2022
26, 27, 29, Mon Nov 21 15:28:58 2022
23, 32, 25, Mon Nov 21 15:29:58 2022
21, 25, 25, Mon Nov 21 15:30:58 2022
30, 27, 35, Mon Nov 21 15:31:58 2022
26, 23, 20, Mon Nov 21 15:32:58 2022
27, 28, 23, Mon Nov 21 15:33:58 2022
25, 28, 22, Mon Nov 21 15:34:58 2022
21, 22, 23, Mon Nov 21 15:35:58 2022
24, 24, 28, Mon Nov 21 15:36:58 2022
21, 30, 24, Mon Nov 21 15:37:58 2022
23, 28, 23, Mon Nov 21 15:38:58 2022
31, 32, 27, Mon Nov 21 15:39:58 2022
30, 32, 28, Mon Nov 21 15:40:58 2022
32, 36, 33, Mon Nov 21 15:41:58 2022
24, 28, 27, Mon Nov 21 15:42:58 2022
18, 19, 18, Mon Nov 21 15:43:58 2022
30, 25, 27, Mon Nov 21 15:44:58 2022
24, 25, 25, Mon Nov 21 15:45:58 2022
17, 14, 20, Mon Nov 21 15:46:58 2022
21, 24, 19, Mon Nov 21 15:47:58 2022
24, 27, 28, Mon Nov 21 15:48:58 2022
22, 21, 21, Mon Nov 21 15:49:58 2022
31, 40, 33, Mon Nov 21 15:50:58 2022
28, 27, 25, Mon Nov 21 15:51:58 2022
30, 33, 36, Mon Nov 21 15:52:58 2022
26, 27, 22, Mon Nov 21 15:53:58 2022
22, 23, 27, Mon Nov 21 15:54:58 2022
24, 23, 26, Mon Nov 21 15:55:58 2022
24, 25, 27, Mon Nov 21 15:56:58 2022
25, 32, 25, Mon Nov 21 15:57:58 2022
31, 26, 24, Mon Nov 21 15:58:58 2022
28, 33, 33, Mon Nov 21 15:59:58 2022
25, 23, 27, Mon Nov 21 16:00:58 2022
23, 18, 19, Mon Nov 21 16:01:58 2022
28, 34, 34, Mon Nov 21 16:02:58 2022
24, 24, 27, Mon Nov 21 16:03:58 2022
23, 28, 30, Mon Nov 21 16:04:58 2022
17, 19, 17, Mon Nov 21 16:05:58 2022
21, 20, 16, Mon Nov 21 16:06:58 2022
38, 41, 39, Mon Nov 21 16:07:58 2022
24, 31, 28, Mon Nov 21 16:08:58 2022
25, 22, 25, Mon Nov 21 16:09:58 2022
25, 23, 23, Mon Nov 21 16:10:58 2022
24, 31, 32, Mon Nov 21 16:11:58 2022
19, 17, 21, Mon Nov 21 16:12:58 2022
19, 20, 22, Mon Nov 21 16:13:58 2022
20, 22, 23, Mon Nov 21 16:14:58 2022
27, 26, 22, Mon Nov 21 16:15:58 2022
