timestamp	Ch12	Ch13	Ch23	mslp	tmpf	press_pct	temp_pct	temp_scaled	Ch12_pct	Ch13_pct	Ch23_pct	Ch12_m_avg	Ch13_m_avg	Ch23_m_avg	delta_Ch12	delta_Ch13	delta_Ch23	delta_pres
2020-09-14 21:00:00+00:00	7898	3902	7999	1016.8	84.0	-0.5702636222019211	53.593803707322444	5.359380370732245	-1.1061546515509526	-0.7713992772365913	0.12195801717814196	-1.1061546515509526	-0.7713992772365913	0.12195801717814196	-0.011123180352995532	-0.007743899514148614	0.0012188370879891405	-2.9075104926000677
2020-09-14 22:00:00+00:00	7968	4015	8010	1017.1	82.9	-0.5114232200448076	51.5824562778218	5.15824562778218	-0.22965817467181432	2.1022121737301602	0.2596429200646227	-0.6679064131113834	0.6654064482467845	0.19080046862138234	-0.002299222935156073	0.020804205683657016	0.002593064301572173	-2.6075104925999995
2020-09-14 23:00:00+00:00	8078	3943	7900	1017.5	82.0	-0.43296935050201185	49.93680838095763	4.993680838095763	1.1476934318525458	0.27123850585753995	-1.1172061088001848	-0.06270646479007369	0.5340171341170363	-0.24520172385247338	0.011411573923767916	0.0027087131804219796	-0.011234937305719811	-2.207510492600022
2020-09-15 00:00:00+00:00	7798	3858	7774	1018.0	82.0	-0.33490201357351157	49.93680838095763	4.993680838095763	-2.3582924756640073	-1.890327629825415	-2.6943240873180554	-0.6366029675085572	-0.07206905686857651	-0.8574823147188688	-0.023865452657047606	-0.019084227231530727	-0.02731286434866422	-1.7075104926000222
2020-09-15 01:00:00+00:00	7947	3925	7866	1018.6	82.0	-0.21722120925930682	49.93680838095763	4.993680838095763	-0.49260711773555577	-0.18650491111061523	-1.5427776268129436	-0.607803797553957	-0.09495622771698425	-0.9945413771376839	-0.004938244259410879	-0.001866790480696323	-0.015548022769077815	-1.1075104925999995
2020-09-15 02:00:00+00:00	7884	3912	7960	1018.8	80.1	-0.1779942744879201	46.462662820911035	4.646266282091104	-1.28145394692678	-0.5170973789209495	-0.3661975476011989	-0.7200788224494273	-0.16531308625097849	-0.8898174055482696	-0.012897353926979464	-0.005184389542497145	-0.003668696922403987	-0.9075104926000677
2020-09-15 03:00:00+00:00	7775	3798	7853	1019.0	78.1	-0.1387673397165111	42.80566749454621	4.280566749454621	-2.6462841752100097	-3.416139019719265	-1.705496148406057	-0.9767670763926035	-0.6061030433314242	-1.194393099812303	-0.026819285152155422	-0.03475852932497392	-0.017202072385958084	-0.7075104926000222
2020-09-15 04:00:00+00:00	7712	3800	7936	1019.2	77.0	-0.09954040494510208	40.794320065045575	4.0794320065045575	-3.4351310044012338	-3.3652786400561374	-0.6666009720807933	-1.5110125480141734	-1.5173515122958072	-1.348767081836539	-0.03495518590920878	-0.034232074982727935	-0.006688326796123914	-0.5075104925999767
2020-09-15 05:00:00+00:00	7789	3794	7721	1019.3	75.9	-0.07992693755941987	38.78297263554493	3.8782972635544932	-2.470984879834182	-3.517859779045522	-3.357714983043826	-2.1141255999619615	-2.148867893112984	-1.722185227543812	-0.025020261279641753	-0.03581227020224554	-0.03415380745201689	-0.40751049260006766
2020-09-15 06:00:00+00:00	7826	3850	7960	1019.0	75.0	-0.1387673397165111	37.13732473868075	3.7137324738680757	-2.0076938849123516	-2.0937691484779286	-0.3661975476011989	-2.055692501503352	-2.182774812888403	-1.334164137591003	-0.020281219429232528	-0.021159993415375212	-0.003668696922403987	-0.7075104926000222
2020-09-15 07:00:00+00:00	7819	3877	7860	1019.0	75.0	-0.1387673397165111	37.13732473868075	3.7137324738680757	-2.0953435326002654	-1.4071540230256956	-1.617878482932842	-2.322815237314137	-2.386216331540916	-1.3466809469443195	-0.021176074075076302	-0.01417148302627593	-0.016311090337580474	-0.7075104926000222
2020-09-15 08:00:00+00:00	7861	3894	8015	1018.6	75.0	-0.21722120925930682	37.13732473868075	3.7137324738680757	-1.5694456464727828	-0.9748407958891047	0.3222269668312049	-2.3708138539051373	-2.462506901035609	-1.2319435278722521	-0.01581891840583375	-0.009796234765060145	0.0032170892828205584	-1.1075104925999995
2020-09-15 09:00:00+00:00	7815	3862	7895	1019.0	73.9	-0.1387673397165111	35.125977309180115	3.512597730918012	-2.145429045564788	-1.7886068704991585	-1.179790155566767	-2.2873379989642673	-2.191251542832258	-1.144325862399037	-0.02168777934401326	-0.018047957708745302	-0.011868049071090169	-0.7075104926000222
2020-09-15 10:00:00+00:00	7876	3910	7860	1019.1	73.9	-0.1191538723308066	35.125977309180115	3.512597730918012	-1.3816249728558245	-0.5679577585840778	-1.617878482932842	-1.945086993706699	-1.725031395920248	-1.302872114207712	-0.013912582440574094	-0.005695767717793673	-0.016311090337580474	-0.6075104925999995
2020-09-15 11:00:00+00:00	7949	3931	7880	1020.0	73.0	0.057367334140489376	33.48032941231593	3.3480329412315935	-0.4675643612532947	-0.03392377212123019	-1.3675422958665135	-1.6111835739432179	-1.1443753947661992	-0.9711766663448266	-0.004686608626477616	-0.0003392952753447187	-0.013769792908907822	0.2924895073999778
2020-09-15 12:00:00+00:00	7942	3911	7896	1020.5	71.1	0.15543467106898962	30.00618385226934	3.000618385226934	-0.5552140089412085	-0.5425275687525137	-1.1672733462134506	-1.369103594614694	-0.88583513147863	-1.1046892994468684	-0.0055676105083934955	-0.0054400459416909935	-0.011741394647515153	0.7924895073999778
