counts_1_3,counts_2_3,counts_1_2,timestamp
7, 12, 10, Thu Jan 19 22:32:53 2023
18, 12, 16, Thu Jan 19 22:33:53 2023
13, 9, 14, Thu Jan 19 22:34:53 2023
18, 10, 14, Thu Jan 19 22:35:53 2023
14, 15, 10, Thu Jan 19 22:36:53 2023
18, 13, 15, Thu Jan 19 22:37:53 2023
11, 9, 17, Thu Jan 19 22:38:53 2023
14, 18, 20, Thu Jan 19 22:39:53 2023
23, 17, 22, Thu Jan 19 22:40:53 2023
15, 12, 16, Thu Jan 19 22:41:53 2023
24, 17, 22, Thu Jan 19 22:42:53 2023
14, 6, 10, Thu Jan 19 22:43:53 2023
20, 16, 17, Thu Jan 19 22:44:53 2023
16, 17, 17, Thu Jan 19 22:45:53 2023
17, 12, 24, Thu Jan 19 22:46:53 2023
16, 14, 18, Thu Jan 19 22:47:53 2023
16, 17, 23, Thu Jan 19 22:48:53 2023
17, 14, 16, Thu Jan 19 22:49:53 2023
7, 9, 13, Thu Jan 19 22:50:53 2023
13, 15, 16, Thu Jan 19 22:51:53 2023
15, 8, 12, Thu Jan 19 22:52:53 2023
8, 12, 13, Thu Jan 19 22:53:53 2023
24, 21, 19, Thu Jan 19 22:54:53 2023
13, 15, 15, Thu Jan 19 22:55:53 2023
12, 10, 14, Thu Jan 19 22:56:53 2023
16, 14, 17, Thu Jan 19 22:57:53 2023
20, 18, 16, Thu Jan 19 22:58:53 2023
12, 12, 13, Thu Jan 19 23:01:53 2023
12, 9, 13, Thu Jan 19 23:02:53 2023
19, 14, 21, Thu Jan 19 23:03:53 2023
9, 11, 18, Thu Jan 19 23:04:53 2023
15, 16, 21, Thu Jan 19 23:05:53 2023
13, 8, 10, Thu Jan 19 23:06:53 2023
12, 12, 19, Thu Jan 19 23:07:53 2023
11, 13, 7, Thu Jan 19 23:08:53 2023
19, 23, 25, Thu Jan 19 23:09:53 2023
21, 15, 16, Thu Jan 19 23:10:53 2023
12, 9, 14, Thu Jan 19 23:11:53 2023
16, 10, 18, Thu Jan 19 23:12:53 2023
16, 13, 19, Thu Jan 19 23:13:53 2023
23, 16, 23, Thu Jan 19 23:14:53 2023
12, 13, 17, Thu Jan 19 23:15:53 2023
16, 17, 15, Thu Jan 19 23:16:53 2023
18, 17, 16, Thu Jan 19 23:17:53 2023
11, 10, 12, Thu Jan 19 23:18:53 2023
18, 15, 19, Thu Jan 19 23:19:53 2023
10, 8, 10, Thu Jan 19 23:20:53 2023
22, 19, 22, Thu Jan 19 23:21:53 2023
23, 20, 21, Thu Jan 19 23:22:53 2023
16, 19, 19, Thu Jan 19 23:23:53 2023
8, 8, 15, Thu Jan 19 23:24:53 2023
18, 15, 14, Thu Jan 19 23:25:53 2023
22, 19, 22, Thu Jan 19 23:26:53 2023
12, 11, 13, Thu Jan 19 23:27:53 2023
12, 12, 17, Thu Jan 19 23:28:53 2023
18, 15, 13, Thu Jan 19 23:29:53 2023
14, 15, 17, Thu Jan 19 23:30:53 2023
21, 16, 17, Thu Jan 19 23:33:53 2023
11, 7, 17, Thu Jan 19 23:34:53 2023
8, 11, 15, Thu Jan 19 23:35:53 2023
16, 12, 16, Thu Jan 19 23:36:53 2023
12, 11, 12, Thu Jan 19 23:37:53 2023
10, 15, 12, Thu Jan 19 23:38:53 2023
4, 5, 13, Thu Jan 19 23:39:53 2023
16, 16, 20, Thu Jan 19 23:40:53 2023
18, 12, 13, Thu Jan 19 23:41:53 2023
11, 10, 10, Thu Jan 19 23:42:53 2023
17, 16, 26, Thu Jan 19 23:43:53 2023
20, 17, 22, Thu Jan 19 23:44:53 2023
18, 9, 14, Thu Jan 19 23:45:53 2023
13, 11, 22, Thu Jan 19 23:46:53 2023
15, 12, 16, Thu Jan 19 23:47:53 2023
25, 22, 21, Thu Jan 19 23:48:53 2023
14, 17, 17, Thu Jan 19 23:49:53 2023
12, 11, 10, Thu Jan 19 23:50:53 2023
12, 12, 15, Thu Jan 19 23:51:53 2023
11, 11, 16, Thu Jan 19 23:52:53 2023
13, 13, 14, Thu Jan 19 23:53:53 2023
16, 9, 12, Thu Jan 19 23:54:53 2023
18, 18, 17, Thu Jan 19 23:55:53 2023
16, 18, 20, Thu Jan 19 23:56:53 2023
17, 15, 18, Thu Jan 19 23:57:53 2023
14, 16, 14, Thu Jan 19 23:58:53 2023
15, 13, 22, Thu Jan 19 23:59:53 2023
15, 15, 15, Fri Jan 20 00:00:53 2023
19, 21, 19, Fri Jan 20 00:01:53 2023
15, 9, 12, Fri Jan 20 00:02:53 2023
13, 14, 15, Fri Jan 20 00:05:53 2023
15, 18, 20, Fri Jan 20 00:06:53 2023
9, 9, 15, Fri Jan 20 00:07:53 2023
15, 11, 12, Fri Jan 20 00:08:53 2023
17, 17, 18, Fri Jan 20 00:09:53 2023
13, 15, 18, Fri Jan 20 00:10:53 2023
15, 11, 16, Fri Jan 20 00:11:53 2023
21, 18, 20, Fri Jan 20 00:12:53 2023
14, 16, 15, Fri Jan 20 00:13:53 2023
21, 10, 12, Fri Jan 20 00:14:53 2023
20, 17, 16, Fri Jan 20 00:15:53 2023
15, 12, 14, Fri Jan 20 00:16:53 2023
16, 15, 21, Fri Jan 20 00:17:53 2023
16, 18, 19, Fri Jan 20 00:18:53 2023
14, 11, 11, Fri Jan 20 00:19:53 2023
13, 15, 16, Fri Jan 20 00:20:53 2023
16, 11, 22, Fri Jan 20 00:21:53 2023
14, 7, 12, Fri Jan 20 00:22:53 2023
15, 10, 21, Fri Jan 20 00:23:53 2023
13, 12, 17, Fri Jan 20 00:24:53 2023
16, 10, 16, Fri Jan 20 00:25:53 2023
15, 12, 17, Fri Jan 20 00:26:53 2023
18, 18, 15, Fri Jan 20 00:27:53 2023
16, 11, 15, Fri Jan 20 00:28:53 2023
21, 16, 17, Fri Jan 20 00:29:53 2023
15, 8, 14, Fri Jan 20 00:30:53 2023
12, 8, 7, Fri Jan 20 00:31:53 2023
15, 12, 13, Fri Jan 20 00:32:53 2023
17, 14, 17, Fri Jan 20 00:33:53 2023
11, 11, 16, Fri Jan 20 00:34:53 2023
11, 5, 14, Fri Jan 20 00:38:53 2023
21, 17, 23, Fri Jan 20 00:39:53 2023
21, 17, 23, Fri Jan 20 00:40:53 2023
15, 13, 21, Fri Jan 20 00:41:53 2023
20, 20, 18, Fri Jan 20 00:42:53 2023
13, 12, 20, Fri Jan 20 00:43:53 2023
19, 19, 25, Fri Jan 20 00:44:53 2023
13, 9, 12, Fri Jan 20 00:45:53 2023
12, 10, 10, Fri Jan 20 00:46:53 2023
20, 9, 15, Fri Jan 20 00:47:53 2023
10, 10, 17, Fri Jan 20 00:48:53 2023
13, 16, 21, Fri Jan 20 00:49:53 2023
18, 15, 19, Fri Jan 20 00:50:53 2023
20, 21, 27, Fri Jan 20 00:51:53 2023
14, 9, 11, Fri Jan 20 00:52:53 2023
12, 8, 19, Fri Jan 20 00:53:53 2023
10, 12, 16, Fri Jan 20 00:54:53 2023
11, 13, 16, Fri Jan 20 00:55:53 2023
10, 13, 10, Fri Jan 20 00:56:53 2023
17, 9, 10, Fri Jan 20 00:57:53 2023
13, 11, 11, Fri Jan 20 00:58:53 2023
16, 11, 15, Fri Jan 20 00:59:53 2023
11, 11, 7, Fri Jan 20 01:00:53 2023
13, 11, 10, Fri Jan 20 01:01:53 2023
11, 10, 20, Fri Jan 20 01:02:53 2023
9, 11, 14, Fri Jan 20 01:03:53 2023
13, 7, 10, Fri Jan 20 01:04:53 2023
15, 10, 14, Fri Jan 20 01:05:53 2023
20, 16, 20, Fri Jan 20 01:06:53 2023
15, 14, 14, Fri Jan 20 01:09:53 2023
18, 16, 22, Fri Jan 20 01:10:53 2023
9, 8, 13, Fri Jan 20 01:11:53 2023
28, 16, 20, Fri Jan 20 01:12:53 2023
15, 8, 12, Fri Jan 20 01:13:53 2023
