Chan_0_1,Chan_0_2,Chan_1_2,timestamp
33, 28, 38, Wed Jun 28 09:09:18 2023
47, 28, 46, Wed Jun 28 09:10:18 2023
51, 40, 44, Wed Jun 28 09:11:18 2023
39, 31, 46, Wed Jun 28 09:12:18 2023
48, 38, 50, Wed Jun 28 09:13:18 2023
47, 36, 41, Wed Jun 28 09:14:18 2023
45, 35, 43, Wed Jun 28 09:15:18 2023
24, 13, 20, Wed Jun 28 09:16:18 2023
52, 35, 47, Wed Jun 28 09:17:18 2023
54, 42, 44, Wed Jun 28 09:18:18 2023
54, 40, 46, Wed Jun 28 09:19:18 2023
55, 43, 50, Wed Jun 28 09:20:18 2023
57, 43, 54, Wed Jun 28 09:21:18 2023
42, 32, 47, Wed Jun 28 09:22:18 2023
54, 40, 42, Wed Jun 28 09:23:18 2023
68, 49, 55, Wed Jun 28 09:24:18 2023
68, 36, 48, Wed Jun 28 09:25:18 2023
55, 44, 50, Wed Jun 28 09:26:18 2023
70, 57, 55, Wed Jun 28 09:27:18 2023
45, 30, 30, Wed Jun 28 09:28:18 2023
72, 55, 68, Wed Jun 28 09:29:18 2023
58, 44, 47, Wed Jun 28 09:30:18 2023
52, 30, 34, Wed Jun 28 09:31:18 2023
57, 44, 48, Wed Jun 28 09:32:18 2023
39, 35, 38, Wed Jun 28 09:33:18 2023
44, 46, 47, Wed Jun 28 09:34:18 2023
61, 61, 62, Wed Jun 28 09:35:18 2023
65, 46, 54, Wed Jun 28 09:36:18 2023
53, 40, 47, Wed Jun 28 09:37:18 2023
64, 54, 60, Wed Jun 28 09:38:18 2023
47, 34, 44, Wed Jun 28 09:39:18 2023
60, 49, 56, Wed Jun 28 09:40:18 2023
48, 41, 39, Wed Jun 28 09:41:18 2023
45, 47, 34, Wed Jun 28 09:42:18 2023
56, 35, 45, Wed Jun 28 09:43:18 2023
60, 46, 70, Wed Jun 28 09:44:18 2023
55, 35, 53, Wed Jun 28 09:45:18 2023
66, 57, 71, Wed Jun 28 09:46:18 2023
76, 44, 60, Wed Jun 28 09:47:18 2023
77, 39, 47, Wed Jun 28 09:48:18 2023
69, 37, 48, Wed Jun 28 09:49:18 2023
80, 36, 44, Wed Jun 28 09:50:18 2023
72, 39, 42, Wed Jun 28 09:51:18 2023
89, 35, 48, Wed Jun 28 09:52:18 2023
68, 37, 52, Wed Jun 28 09:53:18 2023
64, 34, 44, Wed Jun 28 09:54:18 2023
75, 35, 45, Wed Jun 28 09:55:18 2023
94, 55, 56, Wed Jun 28 09:56:18 2023
69, 38, 48, Wed Jun 28 09:57:18 2023
67, 34, 47, Wed Jun 28 09:58:18 2023
62, 33, 41, Wed Jun 28 09:59:18 2023
56, 21, 30, Wed Jun 28 10:00:18 2023
60, 26, 30, Wed Jun 28 10:01:18 2023
59, 35, 37, Wed Jun 28 10:02:18 2023
72, 40, 44, Wed Jun 28 10:03:18 2023
57, 33, 48, Wed Jun 28 10:04:18 2023
65, 47, 71, Wed Jun 28 10:05:18 2023
61, 42, 50, Wed Jun 28 10:06:18 2023
39, 27, 35, Wed Jun 28 10:07:18 2023
53, 35, 41, Wed Jun 28 10:08:18 2023
47, 36, 40, Wed Jun 28 10:09:18 2023
47, 42, 45, Wed Jun 28 10:10:18 2023
51, 36, 43, Wed Jun 28 10:11:18 2023
57, 42, 50, Wed Jun 28 10:12:18 2023
54, 39, 54, Wed Jun 28 10:13:18 2023
65, 50, 55, Wed Jun 28 10:14:18 2023
53, 37, 44, Wed Jun 28 10:15:18 2023
56, 38, 45, Wed Jun 28 10:16:18 2023
64, 45, 53, Wed Jun 28 10:17:18 2023
52, 42, 56, Wed Jun 28 10:18:18 2023
47, 31, 41, Wed Jun 28 10:19:18 2023
53, 46, 50, Wed Jun 28 10:20:18 2023
47, 28, 45, Wed Jun 28 10:21:18 2023
62, 48, 57, Wed Jun 28 10:22:18 2023
54, 37, 43, Wed Jun 28 10:23:18 2023
68, 47, 61, Wed Jun 28 10:24:18 2023
55, 34, 45, Wed Jun 28 10:25:18 2023
54, 32, 36, Wed Jun 28 10:26:18 2023
68, 47, 56, Wed Jun 28 10:27:18 2023
53, 30, 44, Wed Jun 28 10:28:18 2023
67, 47, 58, Wed Jun 28 10:29:18 2023
51, 39, 57, Wed Jun 28 10:30:18 2023
50, 38, 50, Wed Jun 28 10:31:18 2023
58, 49, 54, Wed Jun 28 10:32:18 2023
68, 44, 51, Wed Jun 28 10:33:18 2023
56, 43, 52, Wed Jun 28 10:34:18 2023
54, 32, 34, Wed Jun 28 10:35:18 2023
55, 44, 51, Wed Jun 28 10:36:18 2023
52, 32, 44, Wed Jun 28 10:37:18 2023
60, 49, 58, Wed Jun 28 10:38:18 2023
41, 28, 31, Wed Jun 28 10:39:18 2023
52, 30, 41, Wed Jun 28 10:40:18 2023
63, 31, 41, Wed Jun 28 10:41:18 2023
72, 52, 60, Wed Jun 28 10:42:18 2023
37, 26, 36, Wed Jun 28 10:43:18 2023
53, 35, 49, Wed Jun 28 10:44:18 2023
65, 44, 50, Wed Jun 28 10:45:18 2023
62, 44, 55, Wed Jun 28 10:46:18 2023
59, 45, 54, Wed Jun 28 10:47:18 2023
49, 39, 50, Wed Jun 28 10:48:18 2023
48, 32, 39, Wed Jun 28 10:49:18 2023
63, 44, 54, Wed Jun 28 10:50:18 2023
39, 19, 33, Wed Jun 28 10:51:18 2023
50, 36, 53, Wed Jun 28 10:52:18 2023
54, 38, 48, Wed Jun 28 10:53:18 2023
67, 44, 59, Wed Jun 28 10:54:18 2023
49, 28, 33, Wed Jun 28 10:55:18 2023
60, 47, 57, Wed Jun 28 10:56:18 2023
69, 56, 64, Wed Jun 28 10:57:18 2023
70, 49, 57, Wed Jun 28 10:58:18 2023
